"X","id","id_spp","id_process","E_sch","E_SE_sch","lnB0_sch","lnB0_SE_sch","lnB0Bug","E_D_sch","E_D_SE_sch","T_h_sch","T_h_SE_sch","T_pk_sch","P_pk_sch","P_pkBug","AIC_sch","r_sq_sch","AftPk","BefPk","MinVal","B0_renorm10"
186,"MTD3145","Zostera marina","respiration rate",0.718085822071673,0.354477154248712,11.9762119354926,14.6726312804785,FALSE,1.6837781662513,8.33040490207074,308.960741206956,39.3405110199976,308.15,-15.5459403794616,FALSE,19.0993124404221,0.832812069216983,0,7,NA,2.64823178858305e-08
187,"MTD3161","Cladophora glomerata","respiration rate",0.282052609479234,0.12748252258401,19.7307352365639,5.18089024624469,FALSE,30.6167378411616,125115516.730326,307.303197664905,2354356.57949714,303.15,8.93716097927811,FALSE,11.162459397337,0.798850636263806,1,6,NA,3550.23226949652
188,"MTD3164","Cladophora glomerata","respiration rate",0.451469568633217,0.0716714131776967,26.5320843012371,2.91272654209087,FALSE,4.20715220020664,5222231.41465749,350,453482427.376672,308.15,9.53560208917966,FALSE,1.94826129723264,0.989011127990959,0,7,NA,3086.95814924965
189,"MTD3167","Cladophora glomerata","respiration rate",0.584941979149924,1.95200238634715,32.9632627260452,85.2255271401946,FALSE,0.59592918182027,0.543048066622134,350,3256.67324373044,308.15,9.40705704648847,FALSE,11.6056750415356,0.677867336630534,0,7,NA,5381.13860708169
190,"MTD3170","Cladophora glomerata","respiration rate",0.135752873391424,0.105270307723863,14.4862785522274,4.27818566353976,FALSE,32.2001703794439,109708959.102907,307.112183792776,2660149.9950821,303.15,9.29129481399176,FALSE,8.09929082687989,0.415603623566281,1,6,NA,7512.71837714304
191,"MTD3173","Cladophora glomerata","respiration rate",1.14762244001038,3.30280823346379,57.2626850679678,146.006985293492,FALSE,1.14767903401892,3.55827590798368,349.993951747785,58781.9541424021,308.15,9.29785283092085,FALSE,14.082951814664,0.413121322213703,0,7,NA,7910.9197654014
192,"MTD3176","Cladophora glomerata","respiration rate",0.62957748332991,1.14601320857653,35.046465190836,49.7507045417503,FALSE,0.64088832692844,0.571444938894057,350,2236.77525761514,308.15,9.93155484653206,FALSE,6.8306123218926,0.772319821998469,0,7,NA,7613.80606280097
193,"MTD3179","Cladophora glomerata","respiration rate",0.198155087307601,0.190638371772285,17.2986419761168,7.74754426590807,FALSE,3.89399949750439,25713321.4195156,350,2412430565.43442,308.15,9.83869417211074,FALSE,17.6008445088872,0.409189394867344,0,7,NA,9701.51458611273
194,"MTD3182","Cladophora glomerata","respiration rate",0.602108929046984,0.937267694249044,34.5770213599314,39.7000848689902,FALSE,1.07844976878767,0.467140903165453,292.718824650301,8.53739883979864,293.15,9.89682274691036,FALSE,15.0749687683636,0.455963834848575,4,3,NA,15476.5549503842
195,"MTD3278","Koliella antarctica","respiration rate",0.304739961925844,0.0470062559579315,-4.85689792538705,1.89498690905431,FALSE,6.84114906455874,46.9705527845118,305.741504883283,8.26008836718544,303.15,-16.5237262902448,FALSE,-7.95978904623469,0.975860312014688,1,5,NA,2.93965791929965e-08
196,"MTD3280","Chlorella saccharophila","respiration rate",0.644355361953032,0.131379788858083,9.19548746623572,5.40520380589838,FALSE,1.69549255718009,0.432618306338531,299.314170130325,1.40362453615292,298.15,-16.2643544280759,FALSE,-5.08179567562869,0.925517428578451,1,5,NA,3.32681564310641e-08
197,"MTD3282","Chlorella sorokiniana","respiration rate",1.04459781198116,0.273184103579665,22.4624370537403,11.0901024169831,FALSE,1.56145898539368,0.596262756661329,308.625600759743,3.83111810560485,308.15,-17.9094706069212,FALSE,1.8064118690203,0.894868101066793,1,5,NA,1.45833245305843e-09
198,"MTD3329","Chondrus crispus","respiration rate",1.38209285475326,1.11451894217683,42.5776737983045,48.281862129292,FALSE,1.38214189766846,2.53351683077619,350,267934.611472893,304.979033,-13.5089033711949,FALSE,16.6255487469732,0.600120822732235,0,5,NA,5.06160252120694e-07
199,"MTD3330","Gigartina stellata","respiration rate",1.44550563631832,0.997832488206387,44.7373745851732,43.1917987793119,FALSE,1.44555907276604,1.74490106798226,343.904900953042,120393.241253847,305.032786,-14.2473536059241,FALSE,12.1454460834565,0.733653222842237,0,5,NA,2.88362174926083e-07
200,"MTD3335","Egeria densa","respiration rate",1.70310524153647,0.989277005303367,59.0228838521399,39.8406089343983,FALSE,2.29513389053077,0.559929104424897,297.835221496116,1.55701009671799,297.15,-8.67366456709676,FALSE,-4.94054502301515,0.937681699578515,2,2,NA,2.0760129474097e-05
201,"MTD3336","Hydrilla verticillata","respiration rate",1.15511427003426,11.1496781810702,37.9325337673808,459.303537242655,FALSE,1.15531742561094,9.38699393280896,350,80580.4016316928,305.091456,-9.04722357677608,FALSE,-2.31803169093365,0.787111068953877,0,4,NA,4.97462179112532e-05
202,"MTD3368","Eucheuma isiforme","respiration rate",1.71648071040408,0.394323620546676,47.4875520265762,15.6394905828828,FALSE,26.3900615017611,22665469.0264394,307.634030116774,969754.597792613,303.129961,-18.2029828335259,FALSE,20.6555647922182,0.984834333573744,1,6,NA,1.20627353181512e-10
203,"MTD3369","Eucheuma isiforme","respiration rate",0.769287580493652,0.188074484847753,10.2357826744701,7.46028794301972,FALSE,10.3560901373149,887.245984006628,306.958727889351,109.640861504383,303.26344,-19.192942318508,FALSE,8.75323122429796,0.874115992880411,2,5,NA,5.71549482569443e-10
204,"MTD3370","Eucheuma nudum","respiration rate",1.91325256818523,0.756642536783301,56.8146130347702,30.2496166595274,FALSE,3.23678108919822,3.45691845099787,304.733095694108,3.42851327928418,303.127608,-16.9681834869009,FALSE,24.343020727669,0.910770493680043,1,6,NA,4.27397361775043e-10
205,"MTD3371","Eucheuma acanthocladum","respiration rate",0.649110187406511,0.145829630293602,6.77571375308147,5.81575861085071,FALSE,5.87494607292022,12.8455057260009,304.230392920174,7.42083112015723,302.286196,-18.1643631983357,FALSE,0.867992432270281,0.970663412123921,1,5,NA,2.47022771624366e-09
206,"MTD3372","Eucheuma gelidium","respiration rate",1.27466066653119,0.293470501578871,30.3684917598923,11.6390696285901,FALSE,25.1078571359748,28939009.8715771,307.75159992117,1156169.84372913,303.188645,-18.403937438641,FALSE,15.9259356836168,0.954489999504393,1,6,NA,3.22285666858768e-10
209,"MTD3400","Elodea canadensis","respiration rate",0.724236008891336,0.287973080582166,3.05446401091808,11.674682249518,FALSE,1.95131881277516,1.62011733916796,303.104957028147,2.1655949142921,303.074301,-25.1285521144445,FALSE,1.99614922972379,0.917397422158621,2,3,NA,2.74501695140811e-12
210,"MTD3401","Cladophora glomerata","respiration rate",0.4610071966623,0.126690965774993,-7.58204905405029,5.11038194797204,FALSE,4.71238526310166,9.70801563578019,299.951581687862,3.07824568059867,298.151263,-25.5550679033305,FALSE,-5.57633494780271,0.978237071458501,1,3,NA,3.1933203786325e-12
211,"MTD3402","Spirogyra Link","respiration rate",0.71726005974407,0.00860832130461533,2.88657093817065,0.347555087503542,FALSE,4.2339662441616,0.1205836436227,298.163212090679,0.0926356635388912,298.105435,-25.2062542020148,FALSE,-32.8060714755767,0.999952569403553,1,3,NA,3.09789892581158e-12
212,"MTD3410","Aldrovanda vesiculosa","respiration rate",0.369284934788547,0.107500389090594,18.0715120279558,4.27790721436337,FALSE,2.72229967586864,17.5516738437391,309.644648561904,32.0262806243831,307.131636,4.05703387617464,FALSE,-18.7499809887969,0.873512903583674,2,20,NA,18.9450277681778
213,"MTD3413","Cymodocea nodosa","respiration rate",0.335190250718667,0.534492530659674,-4.99314489678081,21.2785191226273,FALSE,3.45289138301575,23259885.9088914,350,286485410.146585,309.11317,-17.5727383143951,FALSE,17.9740909847008,0.55793033699644,1,4,NA,7.3673177436931e-09
214,"MTD3414","Posidonia oceanica","respiration rate",0.381130920269572,0.312298373950016,-3.82608861097147,12.4394894015817,FALSE,3.84211725651743,28556878.5389419,350,1082444576.56103,309.042708,-18.1330833403569,FALSE,11.4223081645194,0.74523918325849,0,5,NA,3.60339525355927e-09
215,"MTD3450","Myriophyllum salsugineum","respiration rate",0.493533298617216,0.0737576712060893,10.6770982543745,2.91968766225033,FALSE,4.07378376970746,2226408.72885869,350,185652567.057305,308.15,-7.90295788700137,FALSE,-11.2675211850748,0.956186783357802,0,8,NA,7.16701589880814e-05
216,"MTD3453","Zostera muelleri","respiration rate",0.383043328065333,1395.57184557747,-5.38666492603233,1295772.43005344,FALSE,0.00225034860321326,2803.66996390277,350,479.388166717116,315.15,-13.4348213267942,FALSE,13.977670144585,0.251457525583205,0,4,NA,6.00663790057899e-08
217,"MTD3477","Mastocarpus papillatus","respiration rate",0.861500378471351,0.617285541045387,15.2314502940372,24.4395374175412,FALSE,28.8333479611277,62321829.4579031,307.361938807944,1069743.72589328,308.15,-17.605605919382,FALSE,10.8243844272991,0.899340095571449,1,3,NA,1.93134432516776e-09
218,"MTD3478","Mastocarpus papillatus","respiration rate",1.79240432324187,1.50752175760633,52.7900999613336,60.9985480100991,FALSE,1.79282655525744,0.782982397829604,335.188326137489,11804.3029225083,308.15,-17.6506621738325,FALSE,1.87186830206975,0.95060652967834,1,3,NA,1.03104787329685e-09
219,"MTD3479","Mastocarpus papillatus","respiration rate",0.757795801683854,0.385514104131723,10.7720283599719,15.2620593303159,FALSE,30.9007336975261,42619871.3745072,307.542687814636,414380.379795778,308.114664,-17.9578841072294,FALSE,6.15128313620879,0.980107326597112,0,4,NA,1.56466338292514e-09
220,"MTD3485","Desmarestia anceps","respiration rate",0.257404202501439,227.93987900681,-11.8414832882766,164725.561226686,FALSE,0.00292758609938734,457.526525977318,350,277.554792194052,302.520443,-16.1352533153254,FALSE,-1.00410080953987,0.994044883190959,0,5,NA,1.65990602704613e-08
221,"MTD3487","Palmaria decipiens","respiration rate",1.27961051215309,0.184981307869608,34.0188264132502,7.7267774330223,FALSE,1.75433536340747,0.331518972260937,298.000024816376,2.0810636554032,298.507096,-17.1039110517616,FALSE,-4.00796214752824,0.98197164745845,1,4,NA,9.42054688774021e-09
