,Species,Species.1,Trait,E,Est_Tpk,Est_Response,Rank,Points_Before_Peak,Est_Tpk_std,Est_Response_std,E_std,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,RespiratoryPathway,TempPref,ConKingdom_len,ConKingdom_ES,ConKingdom_ES_max,ConKingdom_ES_min,RespiratoryPathway_len_x,RespiratoryPathway_ES_x,RespiratoryPathway_ES_max_x,RespiratoryPathway_ES_min_x,TempPref_len,TempPref_ES,TempPref_ES_max,TempPref_ES_min,RespiratoryPathway_len_y,RespiratoryPathway_ES_y,RespiratoryPathway_ES_max_y,RespiratoryPathway_ES_min_y
0,0,Acetobacterium bakii,Specific Growth Rate,0.167003318312084,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,12.0,1.06973834411875,1.06973834411875,1.06973834411875,,,,,,,,
1,1,Acetobacterium carbinolicum,Specific Growth Rate,1.0449441108909698,,,1,6,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,12.0,1.06973834411875,1.06973834411875,1.06973834411875,,,,,,,,
2,3,Acetobacterium paludosum,Specific Growth Rate,0.509454462608387,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,12.0,1.06973834411875,1.06973834411875,1.06973834411875,,,,,,,,
3,4,Acetobacterium tundrae,Specific Growth Rate,0.876362723617745,,,1,4,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,12.0,1.06973834411875,1.06973834411875,1.06973834411875,,,,,,,,
4,8,Acetobacterium z-4391,Specific Growth Rate,0.169167345335184,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,12.0,1.06973834411875,1.06973834411875,1.06973834411875,,,,,,,,
5,65,Blautia producta,Specific Growth Rate,2.22872547830023,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,E1,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,12.0,1.06973834411875,1.06973834411875,1.06973834411875,,,,,,,,
6,542,Thermoanaerobacter kivui,Specific Growth Rate,2.08895804336641,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,E1,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,12.0,1.06973834411875,1.06973834411875,1.06973834411875,,,,,,,,
7,91,Colwellia demingiae,Specific Growth Rate,1.75467279524927,,,1,8,,,,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Aerobic,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,242.0,0.8488050177842624,0.8989702521895601,0.7975579182383491,,,,,,,,
8,139,Escherichia coli,Specific Growth Rate,1.08290496909488,,,1,12,0.40000000000009095,0.000789469027088866,0.0669250927891072,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Aerobic,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,242.0,0.8488050177842624,0.8989702521895601,0.7975579182383491,,,,,,,,
9,141,Escherichia coli,Specific Growth Rate,1.10076232858092,,,1,7,0.0,0.0,0.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Aerobic,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,242.0,0.8488050177842624,0.8989702521895601,0.7975579182383491,,,,,,,,
10,203,Halomonas elongata,Specific Growth Rate,1.05428129922826,,,1,13,,,,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,242.0,0.8488050177842624,0.8989702521895601,0.7975579182383491,,,,,,,,
11,212,Halomonas subglaciescola,Specific Growth Rate,1.06898659904156,,,1,25,,,,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Aerobic,,413.0,0.8881273970624254,0.937251948726487,0.8413541869148012,242.0,0.8488050177842624,0.8989702521895601,0.7975579182383491,,,,,,,,
