Unnamed: 0,Species,Species.1,Trait,E,Est_Tpk,Est_Response,Rank,Points_Before_Peak,Est_Tpk_std,Est_Response_std,E_std,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,Best_Guess,TempPref,ConKingdom_len,ConKingdom_ES,ConKingdom_ES_max,ConKingdom_ES_min,Best_Guess_len_x,Best_Guess_ES_x,Best_Guess_ES_max_x,Best_Guess_ES_min_x,TempPref_len,TempPref_ES,TempPref_ES_max,TempPref_ES_min,Best_Guess_len_y,Best_Guess_ES_y,Best_Guess_ES_max_y,Best_Guess_ES_min_y,Model_name_x,ConKingdom_EG,ConKingdom_EG_min,ConKingdom_EG_max,ConKingdom_B0,Model_name_y,TempPref_EG,TempPref_EG_min,TempPref_EG_max,TempPref_B0
0,0,AcetobacteriumNAbakii,SpecificNAGrowthNARate,0.167003317296859,295.342,3.01334455701,1,5,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658447,0.9262033975443436,0.8386969331718401,12.0,1.5034465740506804,2.08895804336641,0.621944359790261,264.0,0.8700944265608366,0.928377125997423,0.8163521127113385,3.0,0.621944359790261,0.621944359790261,0.621944359790261,boltzmann_arrhenius_one_weight_non_linear,0.48822824677634724,0.3877040342116066,0.59844270834022,19.393750139780327,boltzmann_arrhenius_one_weight_non_linear,0.984643915603916,0.7496574935601429,1.2460683352928668,38.6297144393807
1,2,AcetobacteriumNAfimetarium,SpecificNAGrowthNARate,0.621944359790261,302.927,3.72813472375,1,6,1.0947049830893,1.1999774147225709e+17,2.83497544626148,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658447,0.9262033975443436,0.8386969331718401,12.0,1.5034465740506804,2.08895804336641,0.621944359790261,264.0,0.8700944265608366,0.928377125997423,0.8163521127113385,3.0,0.621944359790261,0.621944359790261,0.621944359790261,boltzmann_arrhenius_one_weight_non_linear,0.48822824677634724,0.3877040342116066,0.59844270834022,19.393750139780327,boltzmann_arrhenius_one_weight_non_linear,0.984643915603916,0.7496574935601429,1.2460683352928668,38.6297144393807
2,7,AcetobacteriumNAz-4290,SpecificNAGrowthNARate,0.642690979726136,302.707,3.80891626253,1,6,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658447,0.9262033975443436,0.8386969331718401,12.0,1.5034465740506804,2.08895804336641,0.621944359790261,264.0,0.8700944265608366,0.928377125997423,0.8163521127113385,3.0,0.621944359790261,0.621944359790261,0.621944359790261,boltzmann_arrhenius_one_weight_non_linear,0.48822824677634724,0.3877040342116066,0.59844270834022,19.393750139780327,boltzmann_arrhenius_one_weight_non_linear,0.984643915603916,0.7496574935601429,1.2460683352928668,38.6297144393807
3,16,AcidibacterNAferrireducens,SpecificNAGrowthNARate,1.55354515920577,307.5216,2.0085137900400003,1,3,0.482767759901286,0.196252357797404,0.4479800037336609,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,Acidibacter,Aerobic,Mesophile,416.0,0.8797929647658447,0.9262033975443436,0.8386969331718401,241.0,0.8326910489057422,0.8839924612874807,0.788417342573748,264.0,0.8700944265608366,0.928377125997423,0.8163521127113385,173.0,0.8285893090367891,0.8787083844562389,0.7803596362613859,boltzmann_arrhenius_one_weight_non_linear,0.48822824677634724,0.3877040342116066,0.59844270834022,19.393750139780327,boltzmann_arrhenius_one_weight_non_linear,0.984643915603916,0.7496574935601429,1.2460683352928668,38.6297144393807
4,34,AcidocellaNAaromatica,SpecificNAGrowthNARate,1.06474185601424,304.1509,6.554475095750001,1,4,0.554683025560157,0.5600820781368989,0.280801308807114,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,Aerobic,Mesophile,416.0,0.8797929647658447,0.9262033975443436,0.8386969331718401,241.0,0.8326910489057422,0.8839924612874807,0.788417342573748,264.0,0.8700944265608366,0.928377125997423,0.8163521127113385,173.0,0.8285893090367891,0.8787083844562389,0.7803596362613859,boltzmann_arrhenius_one_weight_non_linear,0.48822824677634724,0.3877040342116066,0.59844270834022,19.393750139780327,boltzmann_arrhenius_one_weight_non_linear,0.984643915603916,0.7496574935601429,1.2460683352928668,38.6297144393807
5,35,AcidovoraxNAsp.NAk33,SpecificNAGrowthNARate,0.21114183950212095,305.081,0.458208219161,1,12,3.58976273371665,0.082527767729629,0.042820066104224994,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Aerobic,Mesophile,416.0,0.8797929647658447,0.9262033975443436,0.8386969331718401,241.0,0.8326910489057422,0.8839924612874807,0.788417342573748,264.0,0.8700944265608366,0.928377125997423,0.8163521127113385,173.0,0.8285893090367891,0.8787083844562389,0.7803596362613859,boltzmann_arrhenius_one_weight_non_linear,0.48822824677634724,0.3877040342116066,0.59844270834022,19.393750139780327,boltzmann_arrhenius_one_weight_non_linear,0.984643915603916,0.7496574935601429,1.2460683352928668,38.6297144393807
6,37,AeromonasNAhydrophila,SpecificNAGrowthNARate,0.6495889185917421,305.8,45.5313749713,1,26,0.287845079860743,1.13321168924514,0.0341787980386812,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aerobic,Mesophile,416.0,0.8797929647658447,0.9262033975443436,0.8386969331718401,241.0,0.8326910489057422,0.8839924612874807,0.788417342573748,264.0,0.8700944265608366,0.928377125997423,0.8163521127113385,173.0,0.8285893090367891,0.8787083844562389,0.7803596362613859,boltzmann_arrhenius_one_weight_non_linear,0.48822824677634724,0.3877040342116066,0.59844270834022,19.393750139780327,boltzmann_arrhenius_one_weight_non_linear,0.984643915603916,0.7496574935601429,1.2460683352928668,38.6297144393807
7,54,BacillusNAcereus,SpecificNAGrowthNARate,0.839543441042991,306.05645001,31.6093187086,1,15,0.868571448761736,160.635926108043,0.0872540899198456,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Mesophile,416.0,0.8797929647658447,0.9262033975443436,0.8386969331718401,241.0,0.8326910489057422,0.8839924612874807,0.788417342573748,264.0,0.8700944265608366,0.928377125997423,0.8163521127113385,173.0,0.8285893090367891,0.8787083844562389,0.7803596362613859,boltzmann_arrhenius_one_weight_non_linear,0.48822824677634724,0.3877040342116066,0.59844270834022,19.393750139780327,boltzmann_arrhenius_one_weight_non_linear,0.984643915603916,0.7496574935601429,1.2460683352928668,38.6297144393807
8,55,BacillusNAcereus,SpecificNAGrowthNARate,0.73725299833489,313.6388,77.9275572219,1,8,0.41464061547330106,3.21527182117684,0.0626593390492418,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Mesophile,416.0,0.8797929647658447,0.9262033975443436,0.8386969331718401,241.0,0.8326910489057422,0.8839924612874807,0.788417342573748,264.0,0.8700944265608366,0.928377125997423,0.8163521127113385,173.0,0.8285893090367891,0.8787083844562389,0.7803596362613859,boltzmann_arrhenius_one_weight_non_linear,0.48822824677634724,0.3877040342116066,0.59844270834022,19.393750139780327,boltzmann_arrhenius_one_weight_non_linear,0.984643915603916,0.7496574935601429,1.2460683352928668,38.6297144393807
9,56,BacillusNAcereus,SpecificNAGrowthNARate,0.8925298962479941,311.6931,66.43867218,1,8,0.665424644283354,9.579631901811211,0.13898611151413,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Mesophile,416.0,0.8797929647658447,0.9262033975443436,0.8386969331718401,241.0,0.8326910489057422,0.8839924612874807,0.788417342573748,264.0,0.8700944265608366,0.928377125997423,0.8163521127113385,173.0,0.8285893090367891,0.8787083844562389,0.7803596362613859,boltzmann_arrhenius_one_weight_non_linear,0.48822824677634724,0.3877040342116066,0.59844270834022,19.393750139780327,boltzmann_arrhenius_one_weight_non_linear,0.984643915603916,0.7496574935601429,1.2460683352928668,38.6297144393807
